05:49, Avicii, Lonely Together ft. Rita Ora (Alan Walker Remix)
05:46, DJ_SNAKE/LAUV, A DIFFERENT WAY
05:42, LEA RUE, I Can't Say No!
05:39, Kaleo, Way Down We Go
05:35, MARTIN GARRIX/DUA LIPA, SCARED TO BE LONELY
05:33, Consoul Trainin, Take Me To Infinity
05:29, MARI FERRARI/MISS MARY, MARIA, MARIA
05:25, Lady Gaga, Poker Face
05:22, Kush Kush, Fight Back With Love Tonight
05:19, KADEBOSTANY, TEDDY BEAR (ASTERO REMIX)
05:15, Clean Bandit, PI_ROCKABYE
05:12, David Guetta & Afrojack, Dirty Sexy Money feat. Charli XCX & French Montana
05:07, BLACK_EYED_PEAS, SHUT UP
05:04, ELDJAY/FEDUK, ROZOVOE VINO
05:01, Imagine Dragons, WHATEVER IT TAKES
04:57, Klingande, PUMPED UP
04:54, CHEAT_CODES/KRIS_KROSS_AMSTERDAM, SEX
04:50, KIIDA, Backdoor to Your Heart
04:45, Merk & Kremont, Sad Story (Out Of Luck)
04:41, Shivaree, Goodnight Moon
04:37, ZAYN, Dusk Till Dawn ft. Sia
04:34, Gorgon City, All Four Walls ft. Vaults
04:31, ROBIN SCHULZ/JAMES BLUNT, OK
04:28, Nickelback, When We Stand Together
04:26, J_BALVIN/WILLY WILLIAM, MI GENTE
04:22, Burak Yeter, Tuesday ft. Danelle Sandoval
04:19, Zara Larsson, LUSH LIFE
04:16, LP, SUSPICION (GOING DEEPER REMIX)
04:13, Jonas Blue, Perfect Strangers ft. JP Cooper
04:10, NASTYA KUDRI/ALEXEY VOROBYEV, YA OBESHAYU
04:07, VANOTEK/ENELI, PI_TELL ME WHO
04:03, Gorillaz, Feel Good Inc
04:00, Deepend ft. Graham Candy, Waiting For The Summer
03:56, Justin Timberlake, What Goes Around�Comes Around
03:53, KADEBOSTANY, MIND IF I STAY (ASTERO REMIX)
03:49, Tove Lo, Disco Tits
03:45, Sherrie Sherrie & The Ware, Nana Song (ft. Nina)
03:41, Effective Radio, J-Mafia
03:38, Post Malone feat. 21 Savage, rockstar
03:35, Avicii & Aloe Blacc, Wake Me Up
03:31, ADELE, HELLO (COSMIC DOWN MIX)
03:28, KATY PERRY, PI_ROULETTE
03:24, Rihanna, Don't Stop The Music
03:21, JP Cooper, She's On My Mind
03:18, ROBIN SCHULZ/FRANCESCO YATES, SUGAR
03:14, ALOK/BRUNO MARTINI, PI_HEAR ME NOW
03:11, DJ_SNAKE/LAUV, A DIFFERENT WAY
03:08, Sugababes, Shape
03:04, L.B.ONE/LAENZ, TIRED BONES
03:01, Yellow Claw & DJ Snake, Good Day
02:57, SERGEY LAZAREV, TAK KRASIVO (REMIX)
02:53, Coldplay, Hymn For The Weekend
02:49, Fake Pictures & Tiger Park, Small Talk
02:45, Owl City, Verge ft. Aloe Blacc
02:42, David Guetta & Afrojack, Dirty Sexy Money feat. Charli XCX & French Montana
02:38, David Charvet, Leap Of Faith
02:35, Kaleo, Way Down We Go
02:32, Tiesto, On My Way ft. Bright Sparks
02:29, OFENBACH/NICK WATERHOUSE, PI_KATCHI
02:26, FLO_RIDA, G.D.F.R.
02:23, MATVEY EMERSON/ASTERO, BLAME
02:20, Luis Fonsi, Despacito ft. Daddy Yankee
02:17, FELIX JAEHN/POLINA, BOOK OF LOVE
02:13, Merk & Kremont, Sad Story (Out Of Luck)
02:10, ELENA TEMNIKOVA, IMPULSI
02:07, Imagine Dragons, WHATEVER IT TAKES
02:03, ANNA NAKLAB/ALLE FARBEN, SUPERGIRL
02:00, Alesso, Falling
01:57, Timbaland & OneRepublic, Apologize
01:53, T-Fest, �����
01:49, SOFI TUKKER, Best Friend feat. NERVO, The Knocks & Alisa Ueno
01:45, LP, SUSPICION (GOING DEEPER REMIX)
01:41, MIKE PERRY, THE OCEAN
01:38, ZAYN, Dusk Till Dawn ft. Sia
01:35, Thomas Jack & Jasmine Thompson, Rise Up
01:32, FEDER, PI_LORDLY
01:29, FLYING_DECIBELS, THE ROAD (EFFECTIVE RADIO REMIX)
01:24, Lykke Li, I Follow Rivers
01:21, Dua Lipa, NEW RULES
01:18, GNASH, I HATE YOU I LOVE YOU
01:14, Mike Posner, I Took A Pill In Ibiza (Seeb Remix)
01:11, Sherrie Sherrie & The Ware, Nana Song (ft. Nina)
01:07, RED_HOT_CHILI_PEPPERS, CALIFORNICATION
01:04, MARI FERRARI/MISS MARY, MARIA, MARIA
01:01, VANOTEK/ENELI, TELL ME WHO
00:57, Klingande, PUMPED UP
00:54, LOBODA, SLUCHAINAYA
00:50, KIIDA, Backdoor to Your Heart
00:46, DJ_SNAKE/LAUV, A DIFFERENT WAY
00:42, Cardigans, My Fafourite Game
00:39, Post Malone feat. 21 Savage, rockstar
00:36, LP, LOST ON YOU (SWANKY TUNES & GOING DEEPER REMIX)
00:33, JADED, IN THE MORNING
00:30, Christina Aguilera, Hurt
00:27, ELDJAY/FEDUK, ROZOVOE VINO
00:24, Alle Farben, Bad Ideas
00:21, MAJOR_LAZER/FUSE_ODG, LIGHT IT UP (REMIX)
00:18, David Guetta & Afrojack, Dirty Sexy Money feat. Charli XCX & French Montana
00:15, Justin Timberlake, Can't Stop The Feeling
00:12, Yellow Claw & DJ Snake, Good Day
00:09, LOST_FREQUENCIES, ARE YOU WITH ME
00:06, Matt Nash, Know My Love
00:03, Charlie Puth, Attention
